Label,area_0,area_1,area_2,area_3,area_4
Parasitized,84.5,1810,0,0,0
Parasitized,19.5,1667,0,0,0
Parasitized,19,1744.5,0,0,0
Parasitized,7,8,1538,0,0
Parasitized,1674.5,0,0,0,0
Parasitized,1376,0,0,0,0
Parasitized,23.5,1557.5,0,0,0
Parasitized,1619,0,0,0,0
Parasitized,21,1583,0,0,0
Parasitized,2,1188.5,0,0,0
Parasitized,4,1615,0,0,0
Parasitized,1487.5,0,0,0,0
Parasitized,57,77,5.5,21.5,80.5
Parasitized,8,19,1661,0,0
Parasitized,1594,0,0,0,0
Parasitized,5.5,1564.5,0,0,0
Parasitized,34,31,1445.5,0,0
Parasitized,23.5,1752,0,0,0
Parasitized,1401.5,0,0,0,0
Parasitized,8.5,1720,0,0,0
Parasitized,20,1701.5,0,0,0
Parasitized,1328,0,0,0,0
Parasitized,7.5,348.5,0,0,0
Parasitized,1664.5,0,0,0,0
Parasitized,41,27.5,40,1815,0
Parasitized,2,924.5,0,0,0
Parasitized,48,1452.5,0,0,0
Parasitized,27,1613.5,0,0,0
Parasitized,8.5,4,1322,0,0
Parasitized,1610.5,0,0,0,0
Parasitized,1208,0,0,0,0
Parasitized,1581.5,0,0,0,0
Parasitized,27,1645,0,0,0
Parasitized,24,1848.5,0,0,0
Parasitized,54,1625.5,0,0,0
Parasitized,1514,0,0,0,0
Parasitized,111,8.5,105.5,45.5,75.5
Parasitized,1479.5,0,0,0,0
Parasitized,2,1447,0,0,0
Parasitized,1600.5,0,0,0,0
Parasitized,1323.5,0,0,0,0
Parasitized,1690,0,0,0,0
Parasitized,1753,0,0,0,0
Parasitized,979,1615.5,0,0,0
Parasitized,1653,0,0,0,0
Parasitized,1538.5,0,0,0,0
Parasitized,185.5,7,1422,0,0
Parasitized,8.5,1710.5,0,0,0
Parasitized,5.5,1602.5,0,0,0
Parasitized,18.5,1726,0,0,0
Parasitized,41,1701.5,0,0,0
Parasitized,35,1740,0,0,0
Parasitized,4,1694.5,0,0,0
Parasitized,46,1744.5,0,0,0
Parasitized,30,1746.5,0,0,0
Parasitized,1518,0,0,0,0
Parasitized,23,51.5,1579.5,0,0
Parasitized,1520,0,0,0,0
Parasitized,2,371,1556,0,0
Parasitized,1602,0,0,0,0
Parasitized,1586.5,0,0,0,0
Parasitized,1.5,95.5,134.5,1075,0
Parasitized,1375.5,0,0,0,0
Parasitized,1582,0,0,0,0
Parasitized,29.5,2,1560.5,0,0
Parasitized,4,1783.5,0,0,0
Parasitized,16,1445,0,0,0
Parasitized,1460.5,0,0,0,0
Parasitized,1474,0,0,0,0
Parasitized,18,1703.5,0,0,0
Parasitized,4,12.5,10,1532.5,0
Parasitized,30.5,0,855.5,0,0
Parasitized,1751,0,0,0,0
Parasitized,1559.5,0,0,0,0
Parasitized,1774.5,0,0,0,0
Parasitized,1310,0,0,0,0
Parasitized,1520.5,0,0,0,0
Parasitized,88,1718,0,0,0
Parasitized,4,1593.5,0,0,0
Parasitized,16.5,1674,0,0,0
Parasitized,1583.5,0,0,0,0
Parasitized,16,1620,0,0,0
Parasitized,30.5,1643,0,0,0
Parasitized,21.5,1743.5,0,0,0
Parasitized,1540.5,0,0,0,0
Parasitized,5.5,16.5,1667,0,0
Parasitized,47,1489,0,0,0
Parasitized,1313,0,0,0,0
Parasitized,1773.5,0,0,0,0
Parasitized,1630.5,0,0,0,0
Parasitized,22.5,10,1634,0,0
Parasitized,1691.5,0,0,0,0
Parasitized,1561,0,0,0,0
Parasitized,18,1218,0,0,0
Parasitized,4,1402,0,0,0
Parasitized,4.5,769,0,0,0
Parasitized,12.5,7,2,1540.5,0
Parasitized,23,16,7,1557.5,0
Parasitized,8.5,1519,0,0,0
Parasitized,14,1602.5,0,0,0
Parasitized,27,1722,0,0,0
Parasitized,0,14.5,990,0,0
Parasitized,1131.5,0,0,0,0
Parasitized,1472,0,0,0,0
Parasitized,1533.5,0,0,0,0
Parasitized,32,143,1517.5,0,0
Parasitized,1511.5,0,0,0,0
Parasitized,2,80.5,17,134,1561.5
Parasitized,1455,0,0,0,0
Parasitized,39,1790,0,0,0
Parasitized,13.5,1624.5,0,0,0
Parasitized,1558.5,0,0,0,0
Parasitized,29.5,1570,0,0,0
Parasitized,139,1820,0,0,0
Parasitized,80,1594.5,0,0,0
Parasitized,1399.5,0,0,0,0
Parasitized,1545.5,0,0,0,0
Parasitized,98.5,253,19,7,1.5
Parasitized,7.5,123.5,225.5,0,0
Parasitized,85.5,1474,0,0,0
Parasitized,9.5,8.5,14,890.5,1467
Parasitized,25.5,1722,0,0,0
Parasitized,1737.5,0,0,0,0
Parasitized,8.5,1585.5,0,0,0
Parasitized,1498.5,0,0,0,0
Parasitized,25.5,26,1699,0,0
Parasitized,22.5,1271,0,0,0
Parasitized,1487,0,0,0,0
Parasitized,72.5,1670,0,0,0
Parasitized,1574.5,0,0,0,0
Parasitized,31.5,1402.5,0,0,0
Parasitized,1565,0,0,0,0
Parasitized,2,1542,0,0,0
Parasitized,14,5.5,22.5,47.5,1746.5
Parasitized,23.5,1640,0,0,0
Parasitized,72,1722,0,0,0
Parasitized,9.5,1584.5,0,0,0
Parasitized,7,995,0,0,0
Parasitized,18.5,1705,0,0,0
Parasitized,17.5,16.5,1445.5,0,0
Parasitized,0,7,2,14,38.5
Parasitized,1512.5,0,0,0,0
Parasitized,34.5,1729.5,0,0,0
Parasitized,32,1303,0,0,0
Parasitized,15,1,80,40,213.5
Parasitized,1,22.5,1648.5,0,0
Parasitized,1529,0,0,0,0
Parasitized,12.5,1275.5,0,0,0
Parasitized,28,1741,0,0,0
Parasitized,7,1543.5,0,0,0
Parasitized,22.5,31,1593,0,0
Parasitized,21.5,8.5,1729.5,0,0
Parasitized,35.5,13,1161,0,0
Parasitized,18.5,1802,0,0,0
Parasitized,26.5,1716,0,0,0
Parasitized,1541.5,0,0,0,0
Parasitized,14,1637.5,0,0,0
Parasitized,45.5,1436,0,0,0
Parasitized,1436,0,0,0,0
Parasitized,1599.5,0,0,0,0
Parasitized,1594,0,0,0,0
Parasitized,40,1556,0,0,0
Parasitized,28.5,4,1750,0,0
Parasitized,29.5,1426,0,0,0
Parasitized,23,1406.5,0,0,0
Parasitized,270.5,10.5,26.5,0,0
Parasitized,1295,0,0,0,0
Parasitized,40.5,1612,0,0,0
Parasitized,23.5,1472,0,0,0
Parasitized,146,17,38.5,4,10
Parasitized,7,1719,0,0,0
Parasitized,1478,0,0,0,0
Parasitized,29,1577,0,0,0
Parasitized,27,34,23.5,1719.5,0
Parasitized,20.5,1689.5,0,0,0
Parasitized,12,1631,0,0,0
Parasitized,1276,0,0,0,0
Parasitized,2,4,54,1630.5,0
Parasitized,15,1861.5,0,0,0
Parasitized,1012.5,0,0,0,0
Parasitized,1387.5,0,0,0,0
Parasitized,1552,0,0,0,0
Parasitized,25.5,1217,0,0,0
Parasitized,1362.5,0,0,0,0
Parasitized,4,1625,0,0,0
Parasitized,16,1598,0,0,0
Parasitized,16,32.5,72.5,1621.5,0
Parasitized,1683,0,0,0,0
Parasitized,1625,0,0,0,0
Parasitized,31,1508.5,0,0,0
Parasitized,1698.5,0,0,0,0
Parasitized,1576,0,0,0,0
Parasitized,1709.5,0,0,0,0
Parasitized,5.5,1570,0,0,0
Parasitized,18.5,1729,0,0,0
Parasitized,1508,0,0,0,0
Parasitized,3.5,1035.5,0,0,0
Parasitized,31,26,1694,0,0
Parasitized,115.5,1532,0,0,0
Parasitized,1582.5,0,0,0,0
Parasitized,35,1690.5,0,0,0
Parasitized,61.5,1725,0,0,0
Parasitized,1572,0,0,0,0
Parasitized,0,1621,0,0,0
Parasitized,1582.5,0,0,0,0
Parasitized,8.5,1428,0,0,0
Parasitized,1582.5,0,0,0,0
Parasitized,1655.5,0,0,0,0
Parasitized,0,1178,0,0,0
Parasitized,1080,0,0,0,0
Parasitized,1536.5,0,0,0,0
Parasitized,25,1500.5,0,0,0
Parasitized,63.5,1544.5,0,0,0
Parasitized,4,1486.5,0,0,0
Parasitized,1722.5,0,0,0,0
Parasitized,1349,0,0,0,0
Parasitized,23.5,1770.5,0,0,0
Parasitized,17.5,1613.5,0,0,0
Parasitized,1261.5,0,0,0,0
Parasitized,1385,0,0,0,0
Parasitized,1754,0,0,0,0
Parasitized,8.5,34.5,1337.5,0,0
Parasitized,8.5,1726.5,0,0,0
Parasitized,46.5,1718.5,0,0,0
Parasitized,16.5,12.5,1671,0,0
Parasitized,2,2.5,1,189.5,90.5
Parasitized,33,1,100,23,16.5
Parasitized,1117,0,0,0,0
Parasitized,35,1665,0,0,0
Parasitized,1752,0,0,0,0
Parasitized,1176.5,0,0,0,0
Parasitized,1.5,0,1,20,7.5
Parasitized,7,1799.5,0,0,0
Parasitized,56.5,187.5,100,0,0
Parasitized,1755.5,0,0,0,0
Parasitized,4,5.5,1547.5,0,0
Parasitized,18,1683.5,0,0,0
Parasitized,12.5,24.5,1539.5,0,0
Parasitized,43,1588.5,0,0,0
Parasitized,1582,0,0,0,0
Parasitized,5,5,187.5,0,0
Parasitized,12.5,1084.5,0,0,0
Parasitized,1566.5,0,0,0,0
Parasitized,1506,0,0,0,0
Parasitized,33,1705.5,0,0,0
Parasitized,28.5,1689.5,0,0,0
Parasitized,1573.5,0,0,0,0
Parasitized,2,1679.5,0,0,0
Parasitized,11,1555.5,0,0,0
Parasitized,89,1475,0,0,0
Parasitized,1549,0,0,0,0
Parasitized,1412,0,0,0,0
Parasitized,1636.5,0,0,0,0
Parasitized,8,1121.5,0,0,0
Parasitized,5.5,1348,0,0,0
Parasitized,12,54.5,28,1605,0
Parasitized,1647,0,0,0,0
Parasitized,16.5,1494.5,0,0,0
Parasitized,29.5,1477,0,0,0
Parasitized,1742,0,0,0,0
Parasitized,32.5,13.5,1575.5,0,0
Parasitized,23.5,1686,0,0,0
Parasitized,22.5,1753.5,0,0,0
Parasitized,971,0,0,0,0
Parasitized,1619,0,0,0,0
Parasitized,32,18.5,23,1750.5,0
Parasitized,1490,0,0,0,0
Parasitized,0,1312,0,0,0
Parasitized,1172,0,0,0,0
Parasitized,23.5,1526.5,0,0,0
Parasitized,1716.5,0,0,0,0
Parasitized,1658.5,0,0,0,0
Parasitized,5.5,1290,0,0,0
Parasitized,7,5.5,1797,0,0
Parasitized,7,1677.5,0,0,0
Parasitized,25.5,1636.5,0,0,0
Parasitized,1697.5,0,0,0,0
Parasitized,1630.5,0,0,0,0
Parasitized,53.5,1642,0,0,0
Parasitized,18.5,1614.5,0,0,0
Parasitized,7,1701,0,0,0
Parasitized,55.5,1631,0,0,0
Parasitized,1924,0,0,0,0
Parasitized,27,10,902.5,0,0
Parasitized,1687,0,0,0,0
Parasitized,48,1631.5,0,0,0
Parasitized,25,1532,0,0,0
Parasitized,97,91.5,0,0,0
Parasitized,7,1661.5,0,0,0
Parasitized,4,1560,0,0,0
Parasitized,1737,0,0,0,0
Parasitized,1274,0,0,0,0
Parasitized,21,1783.5,0,0,0
Parasitized,39,1480,0,0,0
Parasitized,63,869,1410,0,0
Parasitized,1649,0,0,0,0
Parasitized,18.5,1780.5,0,0,0
Parasitized,71.5,1690,0,0,0
Parasitized,29.5,19,65.5,1058,0
Parasitized,13,1633,0,0,0
Parasitized,1252,0,0,0,0
Parasitized,50,1556.5,0,0,0
Parasitized,26,1822.5,0,0,0
Parasitized,1319,0,0,0,0
Parasitized,1517.5,0,0,0,0
Parasitized,1564.5,0,0,0,0
Parasitized,34,1,0,10,492
Parasitized,25,1610,0,0,0
Parasitized,12.5,1653,0,0,0
Parasitized,50.5,1608.5,0,0,0
Parasitized,0,1010,0,0,0
Parasitized,26.5,41,1628.5,0,0
Parasitized,1350,0,0,0,0
Parasitized,1429,0,0,0,0
Parasitized,25,1585,0,0,0
Parasitized,25.5,1503.5,0,0,0
Parasitized,8.5,12.5,1767,0,0
Parasitized,27.5,46,1566,0,0
Parasitized,22,74,1502.5,0,0
Parasitized,7,66,84.5,55,2
Parasitized,19.5,1722,0,0,0
Parasitized,4,1648,0,0,0
Parasitized,1452,0,0,0,0
Parasitized,12.5,52.5,1527.5,0,0
Parasitized,1833,0,0,0,0
Parasitized,12.5,20,1588.5,0,0
Parasitized,1096.5,0,0,0,0
Parasitized,1591.5,0,0,0,0
Parasitized,22.5,1786,0,0,0
Parasitized,4,471,31,1654.5,0
Parasitized,1404,0,0,0,0
Parasitized,1696,0,0,0,0
Parasitized,33.5,3,947.5,0,0
Parasitized,21.5,59.5,20.5,1777,0
Parasitized,1679.5,0,0,0,0
Parasitized,12.5,16.5,1373.5,0,0
Parasitized,1710.5,0,0,0,0
Parasitized,8,1599.5,0,0,0
Parasitized,1018.5,0,0,0,0
Parasitized,24.5,1455.5,0,0,0
Parasitized,20,1685.5,0,0,0
Parasitized,64.5,1733.5,0,0,0
Parasitized,5.5,1671.5,0,0,0
Parasitized,40,53.5,863,0,0
Parasitized,1625.5,0,0,0,0
Parasitized,25,1553,0,0,0
Parasitized,1622.5,0,0,0,0
Parasitized,19.5,1663,0,0,0
Parasitized,95.5,1569,0,0,0
Parasitized,22,980,0,0,0
Parasitized,50,1712.5,0,0,0
Parasitized,1277.5,0,0,0,0
Parasitized,38,1632,0,0,0
Parasitized,11.5,115.5,1551,0,0
Parasitized,1465.5,0,0,0,0
Parasitized,1472.5,0,0,0,0
Parasitized,1454.5,0,0,0,0
Parasitized,1693.5,0,0,0,0
Parasitized,11,1674.5,0,0,0
Parasitized,23,1416.5,0,0,0
Parasitized,1522,0,0,0,0
Parasitized,4,53,1746.5,0,0
Parasitized,11,1527.5,0,0,0
Parasitized,1579,0,0,0,0
Parasitized,34,1572.5,0,0,0
Parasitized,0,15,703.5,175,0
Parasitized,21.5,1693.5,0,0,0
Parasitized,1302,0,0,0,0
Parasitized,7,5.5,1559,0,0
Parasitized,23.5,1678,0,0,0
Parasitized,9.5,1738.5,0,0,0
Parasitized,103,1763.5,0,0,0
Parasitized,4,1659.5,0,0,0
Parasitized,34.5,1619.5,0,0,0
Parasitized,985.5,0,0,0,0
Parasitized,1754.5,0,0,0,0
Parasitized,26.5,31,1363.5,0,0
Parasitized,1635,0,0,0,0
Parasitized,7,1744.5,0,0,0
Parasitized,1664,0,0,0,0
Parasitized,30.5,1716,0,0,0
Parasitized,1107,0,0,0,0
Parasitized,4,75,20,1493,3
Parasitized,30,1545.5,0,0,0
Parasitized,28,1797.5,0,0,0
Parasitized,1540.5,0,0,0,0
Parasitized,5.5,11.5,86.5,1290,0
Parasitized,1451.5,0,0,0,0
Parasitized,1296,0,0,0,0
Parasitized,34,1725,0,0,0
Parasitized,33.5,1686,0,0,0
Parasitized,1672,0,0,0,0
Parasitized,8.5,1473,0,0,0
Parasitized,21,1729,0,0,0
Parasitized,35.5,1540,0,0,0
Parasitized,772.5,1714,0,0,0
Parasitized,27.5,1529.5,0,0,0
Parasitized,23.5,18.5,1605,0,0
Parasitized,39.5,37,1779,0,0
Parasitized,10,2,1674,0,0
Parasitized,29.5,1742.5,0,0,0
Parasitized,33.5,1576,0,0,0
Parasitized,21,1637,0,0,0
Parasitized,49,1658.5,0,0,0
Parasitized,0,959.5,0,0,0
Parasitized,4,10,13,464,1455
Parasitized,10,1657.5,0,0,0
Parasitized,1382,0,0,0,0
Parasitized,1427,0,0,0,0
Parasitized,1409,0,0,0,0
Parasitized,40.5,56,38.5,1731,0
Parasitized,11,1542.5,0,0,0
Parasitized,1445.5,0,0,0,0
Parasitized,33,1413,0,0,0
Parasitized,20,1393,0,0,0
Parasitized,1577,0,0,0,0
Parasitized,1361.5,0,0,0,0
Parasitized,0,49.5,223.5,1.5,22
Parasitized,39.5,1664.5,0,0,0
Parasitized,1579.5,0,0,0,0
Parasitized,56.5,8.5,1592,0,0
Parasitized,9.5,1608,0,0,0
Parasitized,1532.5,0,0,0,0
Parasitized,1685,0,0,0,0
Parasitized,1750,0,0,0,0
Parasitized,1536.5,0,0,0,0
Parasitized,8.5,1072.5,0,0,0
Parasitized,28,1529,0,0,0
Parasitized,0,21.5,1415.5,0,0
Parasitized,1701,0,0,0,0
Parasitized,17.5,1742,0,0,0
Parasitized,20,145,1396.5,0,0
Parasitized,1712,0,0,0,0
Parasitized,1704.5,0,0,0,0
Parasitized,19,1595,0,0,0
Parasitized,11,1716,0,0,0
Parasitized,105.5,67,35,1602,0
Parasitized,1666.5,0,0,0,0
Parasitized,53.5,1822.5,0,0,0
Parasitized,2,18,1679,0,0
Parasitized,1771,0,0,0,0
Parasitized,1753,0,0,0,0
Parasitized,22,1858.5,0,0,0
Parasitized,2,1752,0,0,0
Parasitized,10,1799,0,0,0
Parasitized,45.5,10,1800,0,0
Parasitized,7,1648,0,0,0
Parasitized,4,1641,0,0,0
Parasitized,1074.5,0,0,0,0
Parasitized,33,1681.5,0,0,0
Parasitized,718,1747,0,0,0
Parasitized,7,1704,0,0,0
Parasitized,17.5,13.5,1098,0,0
Parasitized,20,1196,0,0,0
Parasitized,24,0.5,1107.5,0,0
Parasitized,16,1652,0,0,0
Parasitized,28.5,13.5,1570.5,0,0
Parasitized,7,1149.5,0,0,0
Parasitized,14,1628.5,0,0,0
Parasitized,4,9,1548,0,0
Parasitized,1724.5,0,0,0,0
Parasitized,1491,0,0,0,0
Parasitized,5.5,1478.5,0,0,0
Parasitized,37.5,28,12,1515,0
Parasitized,9,3.5,78.5,203,24.5
Parasitized,17,1624,0,0,0
Parasitized,1725.5,0,0,0,0
Parasitized,59,1660.5,0,0,0
Parasitized,1328.5,0,0,0,0
Parasitized,74.5,1332.5,0,0,0
Parasitized,108,1553.5,0,0,0
Parasitized,1274,0,0,0,0
Parasitized,120,1236.5,0,0,0
Parasitized,1647.5,0,0,0,0
Parasitized,7.5,1396,0,0,0
Parasitized,32,1619.5,0,0,0
Parasitized,1688,0,0,0,0
Parasitized,45.5,1195.5,0,0,0
Parasitized,1615.5,0,0,0,0
Parasitized,49.5,1506.5,0,0,0
Parasitized,1782.5,0,0,0,0
Parasitized,1758.5,0,0,0,0
Parasitized,26,1662.5,0,0,0
Parasitized,28.5,1535,0,0,0
Parasitized,1061.5,0,0,0,0
Parasitized,4,5.5,2,2,1567
Parasitized,1607,0,0,0,0
Parasitized,12.5,1601,0,0,0
Parasitized,1504.5,0,0,0,0
Parasitized,1,0,0,1,0
Parasitized,48,1590.5,0,0,0
Parasitized,17.5,59.5,2,0,1196
Parasitized,41,1773,0,0,0
Parasitized,1608,0,0,0,0
Parasitized,40.5,1592,0,0,0
Parasitized,1794,0,0,0,0
Parasitized,1347,0,0,0,0
Parasitized,10,1846,0,0,0
Parasitized,1699,0,0,0,0
Parasitized,4,1571.5,0,0,0
Parasitized,7,15,1750,0,0
Parasitized,1413.5,0,0,0,0
Parasitized,1632.5,0,0,0,0
Parasitized,72.5,1648.5,0,0,0
Parasitized,1685.5,0,0,0,0
Parasitized,1791,0,0,0,0
Parasitized,1549.5,0,0,0,0
Parasitized,70.5,74.5,1609,0,0
Parasitized,16.5,1783.5,0,0,0
Parasitized,28.5,1582,0,0,0
Parasitized,1234.5,0,0,0,0
Parasitized,137.5,1716,0,0,0
Parasitized,1544.5,0,0,0,0
Parasitized,63.5,1328,0,0,0
Parasitized,5.5,1400.5,0,0,0
Parasitized,1675.5,0,0,0,0
Parasitized,20,1498,0,0,0
Parasitized,34,1527,0,0,0
Parasitized,1727.5,0,0,0,0
Parasitized,23,1477.5,0,0,0
Parasitized,1218.5,0,0,0,0
Parasitized,10.5,73,1002,1711,0
Parasitized,1538,0,0,0,0
Parasitized,20,1728,0,0,0
Parasitized,0,1604.5,0,0,0
Parasitized,1524.5,0,0,0,0
Parasitized,1603.5,0,0,0,0
Parasitized,1782.5,0,0,0,0
Parasitized,62,1526,0,0,0
Parasitized,270.5,1686,0,0,0
Parasitized,31.5,1654,0,0,0
Parasitized,1623.5,0,0,0,0
Parasitized,17.5,1505.5,0,0,0
Parasitized,63.5,1679,0,0,0
Parasitized,11,1639.5,0,0,0
Parasitized,7,1714,0,0,0
Parasitized,34,1508,0,0,0
Parasitized,7,1247,0,0,0
Parasitized,16,1581,0,0,0
Parasitized,5.5,1685,0,0,0
Parasitized,2,16.5,52.5,64,1752
Parasitized,8,11,1755,0,0
Parasitized,15,1632,0,0,0
Parasitized,12.5,5.5,21,1798.5,0
Parasitized,17.5,4,1505.5,0,0
Parasitized,1754.5,0,0,0,0
Parasitized,13.5,5.5,1675.5,0,0
Parasitized,23.5,903,1.5,0,0
Parasitized,1663,0,0,0,0
Parasitized,33.5,5.5,2,4,40
Parasitized,1827,0,0,0,0
Parasitized,1474,0,0,0,0
Parasitized,52,1777,0,0,0
Parasitized,10.5,1434.5,0,0,0
Parasitized,34.5,1740.5,0,0,0
Parasitized,37,550,30,1682,0
Parasitized,28.5,48.5,1504,0,0
Parasitized,1635,0,0,0,0
Parasitized,1625.5,0,0,0,0
Parasitized,616,0,0,0,0
Parasitized,1413.5,0,0,0,0
Parasitized,1760,0,0,0,0
Parasitized,1596,0,0,0,0
Parasitized,16,1678,0,0,0
Parasitized,20,1600,0,0,0
Parasitized,1735.5,0,0,0,0
Parasitized,24.5,5.5,1724.5,0,0
Parasitized,42.5,1544,0,0,0
Parasitized,30.5,1298.5,0,0,0
Parasitized,11.5,35.5,5.5,928.5,0
Parasitized,11,1766.5,0,0,0
Parasitized,20.5,13,1531,0,0
Parasitized,1503,0,0,0,0
Parasitized,1520,0,0,0,0
Parasitized,1612,0,0,0,0
Parasitized,38,1615.5,0,0,0
Parasitized,13.5,39.5,27,1661,0
Parasitized,10,1616,0,0,0
Parasitized,1613,0,0,0,0
Parasitized,1787,0,0,0,0
Parasitized,2,12.5,1495.5,0,0
Parasitized,32,1697,0,0,0
Parasitized,1562,0,0,0,0
Parasitized,1583.5,0,0,0,0
Parasitized,33,1253,0,0,0
Parasitized,998,0,0,0,0
Parasitized,1683.5,0,0,0,0
Parasitized,88.5,1681,0,0,0
Parasitized,19,1814.5,0,0,0
Parasitized,1438,0,0,0,0
Parasitized,1609,0,0,0,0
Parasitized,24.5,1629.5,0,0,0
Parasitized,41,10,1609,0,0
Parasitized,24,1718,0,0,0
Parasitized,1485,0,0,0,0
Parasitized,15,1434.5,0,0,0
Parasitized,1651,0,0,0,0
Parasitized,7,1382,0,0,0
Parasitized,1770.5,0,0,0,0
Parasitized,15,1753,0,0,0
Parasitized,1726,0,0,0,0
Parasitized,34.5,5.5,22.5,1616.5,0
Parasitized,1151.5,0,0,0,0
Parasitized,1706.5,0,0,0,0
Parasitized,1631,0,0,0,0
Parasitized,1589.5,0,0,0,0
Parasitized,49,1562,0,0,0
Parasitized,94,20,395,1621,0
Parasitized,20,1590.5,0,0,0
Parasitized,28.5,18.5,30,13.5,68.5
Parasitized,10,1788,0,0,0
Parasitized,22.5,1682,0,0,0
Parasitized,1575.5,0,0,0,0
Parasitized,74,0,4,29,0
Parasitized,7,1736.5,0,0,0
Parasitized,1546,0,0,0,0
Parasitized,1578.5,0,0,0,0
Parasitized,18.5,23.5,1656.5,0,0
Parasitized,45.5,1421,0,0,0
Parasitized,1626,0,0,0,0
Parasitized,1370,0,0,0,0
Parasitized,27.5,35.5,1666,0,0
Parasitized,62,110.5,16.5,29.5,1575
Parasitized,12.5,1686.5,0,0,0
Parasitized,30.5,11,1721.5,0,0
Parasitized,1400.5,0,0,0,0
Parasitized,1734.5,0,0,0,0
Parasitized,60.5,1707.5,0,0,0
Parasitized,7,1735.5,0,0,0
Parasitized,78.5,11,1170,0,0
Parasitized,13.5,1522,0,0,0
Parasitized,1.5,0,1.5,7,9
Parasitized,1651,0,0,0,0
Parasitized,13,1776.5,0,0,0
Parasitized,1525,0,0,0,0
Parasitized,1565,0,0,0,0
Parasitized,16.5,1580,0,0,0
Parasitized,9.5,20,1716.5,0,0
Parasitized,2,1746,0,0,0
Parasitized,45,79.5,1551.5,0,0
Parasitized,1546.5,0,0,0,0
Parasitized,181.5,48,1661,0,0
Parasitized,1628.5,0,0,0,0
Parasitized,2,1569.5,0,0,0
Parasitized,35.5,1652,0,0,0
Parasitized,21.5,1353.5,0,0,0
Parasitized,50.5,68,1669,0,0
Parasitized,27,1483.5,0,0,0
Parasitized,22,1631.5,0,0,0
